"Date","ZM-US","CTAS-US","FAST-US","ANSS-US","WBA-US","ADSK-US","ADI-US","ILMN-US","MSFT-US","MAR-US","SBUX-US","MNST-US","DLTR-US","COST-US","FISV-US","REGN-US","ALGN-US","QCOM-US","SIRI-US","SGEN-US","ADP-US","BIIB-US","GILD-US","AMGN-US","ROST-US","ATVI-US","TXN-US","AMZN-US","CTSH-US","ORLY-US","NVDA-US","KLAC-US","AEP-US","ADBE-US","PCAR-US","NFLX-US","MCHP-US","MRVL-US","MU-US","CDNS-US","AAPL-US","EBAY-US","LRCX-US","SNPS-US","IDXX-US","INTC-US","CSCO-US","EA-US","ISRG-US","PEP-US","INTU-US","XEL-US","CPRT-US","BKNG-US","PAYX-US","AMAT-US","VRTX-US","EXC-US","DXCM-US","LULU-US","GOOGL-US","MELI-US","KDP-US","NXPI-US","MDLZ-US","CMCSA-US","VRSK-US","AVGO-US","TSLA-US","CHTR-US","TMUS-US","META-US","TEAM-US","WDAY-US","PYPL-US","KHC-US","PDD-US","MRNA-US","sentiment"
2021-01-04,359.98,343.6,47.65,357.67,41.4,296.84,146.02,367.76,217.69,124.77,103.1,45.3,106.94,380.15,111.92,482.86,526.46,148.5,6.17,168.43,168.96,242.95,60.11,226.66,117.07,89.9,162.22,159.3315,79.42,453.97,131.135,260.33,81.54,485.34,56.480003,522.86,68.59,46.31,74.05,135.76,129.41,51.5,478.02,254.7,491.77,49.67,43.96,139.51,266.66696,144.27,371.7,65.655,60.325,2164.08,90.36,86.87,229.43,29.35697,89.435,356.4,86.3065,1640,31.59,162.04,57.92,50.51,202.88,425.22,243.25668,647.03,132.43,268.94,231.56,228.08,231.92,34.23,166.78,111.73,0.090321256281407
2021-01-05,360.83,348.89,48.28,359.83,41.16,301.7,148.63,374.9,217.9,126.09,103.44,45.71,107.13,375.74,112.36,483.45,543.65,152.43,6.24,169,168.49,246.39,60,227.76,117.17,90.69,163.41,160.9255,79.65,451.28,134.0475,265.79,81.43,485.69,56.966667,520.8,70.095,47.61,77.26,136.14,131.01,52.03,494.55,258.89,497.26,50.61,43.98,141.32,268.35025,144.7,368.87,65.02,60.065,2188.07,90.02,89.6,228.58,29.314188,92.1875,366.5,87.0025,1650,31.635,165.67,57.98,49.98,201.97,428.1,245.03667,636.59,131.85,270.97,234.42,225.36,234.91,33.57,187.2,109.18,0.131378157207207
2021-01-06,344.41,350.99,49.1,349.9,43.03,302.87,149.3,376.55,212.25,129.39,104.19,45.35,112.97,370.02,114.18,470.09,540.39,151.19,6.52,166.75,167.9,247.75,61.95,233.25,122.29,88,164.22,156.91899,80.15,465.18,126.145,265.21,82.08,466.31,59.206665,500.49,71.44,46.51,77.11,130.64,126.6,53.22,496.49,249.7,483.6,51.1,44.4,136.8,264.26358,142.93,361,66.46,58.9,2249.81,91.15,90.83,226.65,30.269697,93.98,363.25,86.144005,1571.98,31.76,168.72,57.87,50.56,200.06,425.46,251.99333,624.51,131.53,263.31,224.48,220,226.83,33.94,176.75,116.26,0.0982892989515072
2021-01-07,342.5,355.06,49.71,365.02,45.26,315.2,155.61,382.41,218.29,130.35,103.35,46.75,114.75,367.92,114.43,481.2,558.36,155.7,6.42,176.36,168.85,250.44,62.52,234.02,122.02,89.67,167.94,158.108,80.95,469.9,133.44,278.19,79.89,477.74,58.933334,508.89,74.35,49.02,79.11,137.05,130.92,53.06,514.46,258.84,495.19,52.19,44.96,140.74,269.4036,142.47,368.63,65.16,60.435,2239.85,91.53,94.56,232.9,29.970207,96.79,367.29,88.717,1597.97,31.8,174.99,57.76,50.66,200.97,443.39,272.01334,629.77,133.19,268.74,233.38,226.21,235.04,33.695,180.12,115.09,0.189393607395498
2021-01-08,349.61,350.15,50.75,374.66,45.21,319.85,156.74,379.61,219.62,129.69,105.67,47.495,112.97,369.94,116.79,498.73,570.53,156.64,5.91,177.66,171.05,252.54,63.04,238.49,122.41,91.3,171.16,159.135,81.95,477.92,132.7675,283.18,79.18,485.1,58.533337,510.4,73.7,49.08,77.42,136.19,132.05,54.48,501.63,262.8,513.2,51.65,45.06,141.86,272.91696,144.18,374.46,65.76,61.09,2281.54,92.02,95.56,237,30.09856,97.0225,365.46,89.8915,1719,32,175.03,58.19,51.54,200.9,445.64,293.34003,634.38,135.06,267.57,235.48,227.65,242.46,33.62,180.77,112.75,0.117731704746318
2021-01-11,337.71,339.5,50.48,373.33,47.7,317.81,158.3,372.48,217.49,128.66,104.6,46.47,112.43,364.01,115.05,502.92,557.04,156.11,5.94,179.04,168.51,267.52,62.51,237.57,120.87,90.91,171.31,155.7105,80.14,483.83,136.215,289.11,78.775,474.24,58.813335,499.1,73.905,50.24,78.67,134.69,128.98,53.93,516.48,260.43,506.55,51.54,45.36,141.22,271.21695,142.09,372.34,64.4,60.435,2221.27,91,97.96,234.64,29.848988,92.66,361.66,87.81451,1761.55,31.36,173.21,57.09,51.52,197.87,445.76,270.39667,641.13,132.93,256.84,230.67,228.83,237.5,32.85,172.49,117.26,0.0426994615748031
2021-01-12,356.81,339.47,51.62,373.27,47.96,320.13,159.09,361.28,214.93,127.39,102.82,46.995,114.18,364.2,111.2,505.75,552.88,154.45,5.88,180.37,169.06,267.39,62.08,236.59,121.16,89.25,172.3,156.0415,79.64,495.4,134.8475,290.99,77.84,471.65,59.64,494.25,74.66,50.64,79.46,133.72,128.8,56.04,536.44,258.58,496.73,53.24,45.79,139.06,262.81024,141.43,365.67,63.4,60.915,2196.34,90.72,100.01,229.38,30.005863,90.0425,356.93,86.871506,1810.09,31.36,176.08,57.32,50.01,196.64,449.39,283.14667,621.49,128.69,251.09,234.19,225.62,237.64,32.18,169.48,124.55,0.0510803467826087
2021-01-13,364.63,335.81,50.7,375.58,48.94,314.33,158.48,362,216.34,126.51,102.89,45.935,112.47,366.95,110.24,511.9,551.14,157.42,5.89,176.69,164.66,266.67,61.54,237.74,119.16,89.77,171.41,158.2945,79.61,482.81,135.3175,290.1,78.15,472.05,59.3,507.79,75.35,50.24,79.91,134.12,130.89,55.71,526.5,257.14,497.58,56.95,45.36,136.34,270.4836,142.59,364.96,65.01,59.55,2182.42,89.56,98.05,227.1,30.51927,90.6375,352.14,87.3625,1798.19,31.66,177.42,57.37,50.16,196.88,451.21,284.80334,618.01,128.5,251.64,229.87,229.07,244.9,32.01,164.8,124.06,0.202704935191083
2021-01-14,383.24,327.14,50.32,369.05,49.32,311.11,159.46,371.04,213.02,128.93,101.82,45.68,109.97,362.35,107.98,517.91,554.64,160.85,5.83,175.86,161.91,280.29,62.4,241.66,117.07,89.99,171.71,156.3735,80.05,471.5,132.0025,303.88,78.83,463.27,59.506668,500.86,76.64,51.31,81.3,135.4,128.91,55.27,557.79,257.91,488.9,59.25,45.15,138.94,265.7136,141.76,365.51,63.56,58.63,2182.59,88.07,105.8,226.12,30.362396,88.02,347.73,86.546005,1852.53,31.54,180,57.31,49.58,193.88,452.07,281.6667,623.09,124.69,245.64,222.97,227.33,242.06,32.08,167.26,129.72,0.211898203024575
2021-01-15,384.53,326.07,50.48,364.28,48.92,308.51,157.75,376.35,212.65,126.8,102.33,45.825,108.34,362.16,108.2,517.93,567.23,157.09,5.8,185.75,161.12,275.84,63.33,245.49,116.97,90.69,169.19,155.21251,80.24,466.69,128.595,304.13,80.47,458.08,58.77334,497.98,74.28,50.77,80.72,134.64,127.14,55.42,547.53,258.92,489.46,57.58,45.43,139,259.47357,141.39,371.01,64.96,57.89,2119.23,88.37,103.14,225.55,30.918589,88.55,344.5,86.381004,1851.78,31.86,172.22,57.22,48.69,190.02,445.85,275.38666,628.91,127.28,251.36,222.93,222.56,239.79,31.99,161.2,129.65,0.069546990296496
